Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,RJ Barrett\barrerj01,SG,19,NYK,49,48,1489,5.9,15.2,.389,1.2,4.0,.307,4.7,11.2,.418,3.2,5.2,.604,1.1,4.9,6.0,2.9,1.1,0.4,2.5,2.6,16.2
28,Will Barton\bartowi01,SF,29,DEN,52,52,1714,6.1,13.8,.446,2.0,5.1,.388,4.2,8.7,.479,2.0,2.6,.762,1.6,5.4,7.0,4.1,1.2,0.5,1.6,2.3,16.2
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,0,665,4.8,11.3,.428,1.7,5.1,.330,3.1,6.2,.509,2.7,3.7,.710,1.1,4.9,6.1,1.6,0.9,1.1,0.8,2.1,14.0
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,646,4.8,11.5,.422,1.7,5.2,.330,3.1,6.2,.500,2.6,3.6,.708,1.2,5.0,6.1,1.7,0.9,1.1,0.8,2.0,14.0
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,0,19,3.8,3.8,1.000,0.0,0.0,,3.8,3.8,1.000,5.7,7.6,.750,0.0,3.8,3.8,0.0,0.0,1.9,0.0,3.8,13.3
30,Nicolas Batum\batumni01,SF,31,CHO,22,3,505,2.0,5.8,.346,1.0,3.5,.286,1.0,2.3,.438,0.6,0.7,.900,1.8,5.3,7.1,4.7,1.2,0.6,1.6,2.9,5.6
31,Aron Baynes\baynear01,C,33,PHO,38,25,820,6.9,14.2,.488,1.9,5.9,.326,5.0,8.3,.603,2.1,2.9,.723,2.6,6.5,9.1,2.8,0.4,0.9,1.8,5.6,17.9
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,59,21,1464,4.1,11.2,.366,1.8,5.3,.343,2.3,5.9,.388,2.4,3.1,.756,0.5,5.5,6.0,1.9,1.6,0.9,1.9,4.1,12.4
32,Kent Bazemore\bazemke01,SF,30,POR,43,21,1111,3.7,10.6,.347,1.8,5.5,.327,1.8,5.0,.368,1.9,2.3,.806,0.4,5.2,5.6,2.0,1.5,1.0,1.9,3.9,11.0
32,Kent Bazemore\bazemke01,SG,30,SAC,16,0,353,5.5,13.3,.415,1.8,4.6,.400,3.7,8.7,.424,3.9,5.6,.691,0.9,6.5,7.4,1.6,2.0,0.7,1.7,4.6,16.7
